OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3056	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Incertae_sedis	Sakaguchia	Sakaguchia sp 
OTU_3057	Fungi	Basidiomycota	Agaricomycetes	Polyporales			
OTU_3058	Fungi						
OTU_3059	Fungi	Ascomycota	Dothideomycetes	Dothideales			
OTU_3060	Fungi	Basidiomycota	Agaricomycetes	Russulales	Gloeocystidiellaceae	Gloeocystidiellum	Gloeocystidiellum porosum
OTU_3061	Fungi	Basidiomycota	Cystobasidiomycetes	Incertae_sedis	Microsporomycetaceae	Microsporomyces	
OTU_3062	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3063	Fungi						
OTU_3064	Fungi						
OTU_3065	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula sp 
OTU_3066	Fungi	Basidiomycota	Agaricomycetes				
